ID,Championnat,Lien,Valeur,Pays,Continent
92,Premier Liga,https://www.transfermarkt.fr/premier-liga/startseite/wettbewerb/KAS1,82960000,10,1
93,Saudi First Division League,https://www.transfermarkt.fr/saudi-first-division-league/startseite/wettbewerb/SA2L,82600000,53,2
94,Ligue 1,https://www.transfermarkt.fr/ligue-1/startseite/wettbewerb/TUN1,80630000,121,4
95,Thai League,https://www.transfermarkt.fr/thai-league/startseite/wettbewerb/THA1,80340000,63,2
96,OBOS-ligaen,https://www.transfermarkt.fr/obos-ligaen/startseite/wettbewerb/NO2,79620000,46,1
97,Super League,https://www.transfermarkt.fr/super-league/startseite/wettbewerb/IN1L,78350000,64,2
98,Super League 2,https://www.transfermarkt.fr/super-league-2/startseite/wettbewerb/GRS2,77300000,18,1
99,Superettan,https://www.transfermarkt.fr/superettan/startseite/wettbewerb/SE2,76100000,51,1
100,Liga FUTVE Apertura,https://www.transfermarkt.fr/liga-futve-apertura/startseite/wettbewerb/VZ1A,74290000,106,3
101,Liga FUTVE Clausura,https://www.transfermarkt.fr/liga-futve-clausura/startseite/wettbewerb/VZ1C,74290000,106,3
102,Libyan Premier League,https://www.transfermarkt.fr/libyan-premier-league/startseite/wettbewerb/LPL,74180000,115,4
103,Liga de Ascenso,https://www.transfermarkt.fr/liga-de-ascenso/startseite/wettbewerb/CL2B,73220000,90,3
104,1.Division,https://www.transfermarkt.fr/1-division/startseite/wettbewerb/DK2,73200000,43,1
105,2. Division A (Phase 2),https://www.transfermarkt.fr/2-division-a-phase-2-/startseite/wettbewerb/R3D2,72640000,26,1
106,2. Liga,https://www.transfermarkt.fr/2-liga/startseite/wettbewerb/A2,71910000,9,1
107,Prva Liga,https://www.transfermarkt.fr/prva-liga/startseite/wettbewerb/SL1,69930000,50,1
108,Ch. National,https://www.transfermarkt.fr/championnat-national/startseite/wettbewerb/FR3,64450000,2,1
109,ChNL,https://www.transfermarkt.fr/chance-narodni-liga/startseite/wettbewerb/TS2,63890000,11,1
110,Vysshaya Liga,https://www.transfermarkt.fr/vysshaya-liga/startseite/wettbewerb/WER1,61080000,26,1
111,Premijer Liga BiH,https://www.transfermarkt.fr/premijer-liga-bosne-i-hercegovine/startseite/wettbewerb/BOS1,60610000,40,1
112,2. Division A (Phase 1),https://www.transfermarkt.fr/2-division-a-phase-1-/startseite/wettbewerb/R3D1,59030000,10,1
113,Liga 2,https://www.transfermarkt.fr/liga-2/startseite/wettbewerb/RO2,57800000,42,1
